"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"Test Availability"	"Annotation?"	"New Req for S?"	"New CTS for S?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible"	"Comment (external)"	"New vs Updated(Q)"	"CTS Bug Id"	"CDD Bug Id"	"CDD CL"	"Area"	"Shortened"	"Test Level"	""	"external version"	""	""	""
""	"3.10"	"C-1-2"	"3.10/C-1-2"	"03100000.670102"	"Test Available"	""	""	""	"android.accessibilityservice.cts.AccessibilityEndToEndTest"	"testTypeNotificationStateChangedAccessibilityEvent testTypeViewClickedAccessibilityEvent testTypeViewFocusedAccessibilityEvent testTypeViewLongClickedAccessibilityEvent testTypeViewSelectedAccessibilityEvent testTypeViewTextChangedAccessibilityEvent testTypeWindowStateChangedAccessibilityEvent"	"CtsAccessibilityServiceTestCases"	""	""	""	""	""	""	"Framework (a11y)"	"Framework"	"2"	""	""	""	""	""
""	"3.10"	"C-1-4"	"3.10/C-1-4"	"03100000.670104"	"Manually Testable Missing Test"	""	""	""	""	""	""	"Punted to R"	""	""	""	""	""	"Framework (a11y)"	"Framework"	"0.2"	""	""	""	""	""
""	"3.10"	"C-2-1"	"3.10/C-2-1"	"03100000.670201"	"Test Missing"	""	""	""	""	""	""	"Punted to R"	""	""	"74204992"	""	""	"Framework (a11y)"	"Framework"	"0"	""	""	""	""	""
""	"3.11"	"C-1-1"	"3.11/C-1-1"	"03110000.670101"	"Test Available"	""	""	""	"android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest"	"android.speech.tts.cts.TextToSpeechServiceTest.* android.speech.tts.cts.TextToSpeechTest.*"	"CtsSpeechTestCases"	""	""	""	""	""	""	"Framework (AI/Assistant/Speech)"	"Framework"	"2"	""	""	""	""	""
""	"3.11"	"C-2-1"	"3.11/C-2-1"	"03110000.670201"	"Manually Testable Missing Test"	""	""	""	""	""	""	""	""	""	"74203864"	""	""	"Framework (AI/Assistant/Speech)"	"Framework"	"0.2"	""	""	""	""	""
""	"3.11"	"H-0-1"	"3.11/H-0-1"	"03110000.720001"	"Test Available"	""	""	""	"android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest"	"assertContainsEngine() testGetEnginesIncludesMock()"	"CtsSpeechTestCases"	""	""	""	""	""	""	"Framework (AI/Assistant/Speech)"	"Framework"	"2"	""	""	""	""	""
""	"3.11"	"T-1-1"	"3.11/T-1-1"	"03110000.840101"	"Test Available"	""	""	""	"android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest"	"assertContainsEngine() testGetEnginesIncludesMock()"	"CtsSpeechTestCases"	""	""	""	""	""	""	"Framework (AI/Assistant/Speech)"	"Framework"	"2"	""	""	""	""	""
""	"3.11"	"W-0-1"	"3.11/W-0-1"	"03110000.870001"	"Test Available"	""	""	""	"android.speech.tts.cts.TextToSpeechServiceTest android.speech.tts.cts.TextToSpeechTest"	"public void .*"	"CtsSpeechTestCases"	""	""	""	""	""	""	"Framework (AI/Assistant/Speech)"	"Framework"	"2"	""	""	""	""	""
""	"3.12"	"C-1-1"	"3.12/C-1-1"	"03120000.670101"	"Not testable"	""	""	""	""	""	""	"TV test cases are gated by this feature. No way to  test standalone"	""	""	""	""	""	"Framework(TIF)"	"Framework"	"-1"	""	""	""	""	""
""	"3.12"	"C-1-2"	"3.12/C-1-2"	"03120000.670102"	"Test Available"	""	""	""	"com.android.cts.tv.*"	"com.android.cts.tv.TvInputManagerHostTest.*"	"CtsTVtestCases"	""	""	""	""	""	""	"Framework (Input)"	"Framework"	"2"	""	""	""	""	""
""	"3.12"	"T-0-1"	"3.12/T-0-1"	"03120000.840001"	"Test Available"	""	""	""	"android.media.tv.cts.*"	"android.media.tv.cts.*"	"CtsTvTestCases"	""	""	""	""	""	""	"Framework(TIF)"	"Framework"	"1"	""	""	""	""	""
""	"3.13"	"C-1-1"	"3.13/C-1-1"	"03130000.670101"	"Test Available"	""	""	""	"android.host.systemui.TileServiceTest"	"testAddTile() testRemoveTile()"	"CtsSystemUiTestCases"	""	""	""	""	""	""	"System UI"	"System UI"	"2"	""	""	""	""	""
""	"3.13"	"C-1-2"	"3.13/C-1-2"	"03130000.670102"	"Test Available"	""	""	""	"com.android.cts.verifier.qstiles.TileServiceVerifierActivity"	"com.android.cts.verifier.qstiles.TileServiceVerifierActivity"	"CtsVerifierQuickSettingsTestCases"	""	""	""	""	""	""	"System UI"	"System UI"	"2"	""	""	""	""	""
""	"3.13"	"C-1-3"	"3.13/C-1-3"	"03130000.670103"	"Test Available"	""	""	""	"com.android.cts.verifier.qstiles.TileServiceVerifierActivity"	"com.android.cts.verifier.qstiles.TileServiceVerifierActivity"	"CtsVerifierQuickSettingsTestCases"	""	""	""	""	""	""	"System UI"	"System UI"	"2"	""	""	""	""	""
""	"3.14"	"A-0-1"	"3.14/A-0-1"	"03140000.650001"	"Manually Testable Missing Test"	""	""	""	""	""	""	""	""	""	""	""	""	"Framework (UI)"	"Framework"	"-1"	""	""	""	""	""
""	"3.14"	"A-0-2"	"3.14/A-0-2"	"03140000.650002"	"Not testable"	""	""	""	""	""	""	""	""	"New in Q"	""	"123357837"	"8085986"	"Framework(UI)"	"Framework"	"-1"	""	""	""	""	""
""	"3.14"	"A-0-3"	"3.14/A-0-3"	"03140000.650003"	"Not testable"	""	""	""	""	""	""	""	""	"New in Q"	"140768703"	"123357837"	"8085986"	"Framework(UI)"	"Framework"	"0"	""	""	""	""	""
""	"3.14"	"A-0-4"	"3.14/A-0-4"	"03140000.650004"	"Manually Testable Missing Test"	""	""	""	""	""	""	""	""	"New in Q"	"140768703"	"123357837"	"8085986"	"Framework(UI)"	"Framework"	"0.2"	""	""	""	""	""
""	"3.14"	"A-0-5"	"3.14/A-0-5"	"03140000.650005"	"Manually Testable Missing Test"	""	""	""	""	""	""	""	""	"New in Q"	"140768703"	"123357837"	"8085986"	"Framework(UI)"	"Framework"	"0.2"	""	""	""	""	""
""	"3.14"	"A-0-6"	"3.14/A-0-6"	"03140000.650006"	"Manually Testable Missing Test"	""	""	""	""	""	""	""	""	"New in Q"	"140768703"	"123357837"	"8085986"	"Framework(UI)"	"Framework"	"0.2"	""	""	""	""	""
""	"3.14"	"A-0-7"	"3.14/A-0-7"	"03140000.650007"	"Not testable"	""	""	""	""	""	""	""	""	"New in Q"	"140768703"	"123357837"	"8085986"	"Framework(UI)"	"Framework"	"0"	""	""	""	""	""
""	"3.14"	"A-1-1"	"3.14/A-1-1"	"03140000.650101"	"Not testable"	""	""	""	""	""	""	""	""	"New in Q"	"140768703"	"123357837"	"8085986"	"System UI"	"System UI"	"0"	""	""	""	""	""
""	"3.14"	"C-1-2"	"3.14/C-1-2"	"03140000.670102"	"Not testable"	""	""	""	""	""	""	""	""	"Updated in Q"	"139747109"	"123357837"	"7429581"	"Framework (UI)"	"Framework"	"-1"	""	""	""	""	""
""	"3.14"	"C-1-3"	"3.14/C-1-3"	"03140000.670103"	"Not testable"	""	""	""	""	""	""	""	""	"Updated in Q"	"139747109"	"123357837"	"7429581"	"Framework (UI)"	"Framework"	"-1"	""	""	""	""	""
""	"3.14"	"C-1-4"	"3.14/C-1-4"	"03140000.670104"	"Not testable"	""	""	""	""	""	""	""	""	"Updated in Q"	"139747109"	"123357837"	"7429581"	"Framework (UI)"	"Framework"	"-1"	""	""	""	""	""
""	"3.14"	"C-1-5"	"3.14/C-1-5"	"03140000.670105"	"Test Available"	""	""	""	"android.media.cts.MediaSessionTest"	"testCallbackOnMediaButtonEvent"	"CtsMediaTestCases"	""	""	""	""	""	""	"Media"	"Media"	"2"	""	""	""	""	""
""	"3.15"	"C-0-1"	"3.15/C-0-1"	"03150000.670001"	"Test Available"	""	""	""	"android.appsecurity.cts.EphemeralTest"	"testInstallPermissionNotGranted() testInstallPermissionGranted()"	"CtsAppSecurityHostTestCases"	""	""	""	""	""	""	"Framework(Instant Apps)"	"Framework"	"2"	""	""	""	""	""
""	"3.15"	"C-0-2"	"3.15/C-0-2"	"03150000.670002"	"Test Available"	""	""	""	"android.appsecurity.cts.EphemeralTest"	"testNormalQuery() testNormalStartNormal() testNormalStartEphemeral() testEphemeralQuery() testEphemeralStartNormal() testEphemeralStartExposed0*"	"CtsAppSecurityHostTestCases"	""	""	""	""	""	""	"Framework(Instant Apps)"	"Framework"	"2"	""	""	""	""	""
""	"3.15"	"C-0-3"	"3.15/C-0-3"	"03150000.670003"	"Test Available"	""	""	""	"android.appsecurity.cts.EphemeralTest"	"testNormalQuery() testNormalStartNormal() testNormalStartEphemeral() testEphemeralQuery() testEphemeralStartNormal() testExposedSystemActivities() testEphemeralStartExposed0*"	"CtsAppSecurityHostTestCases"	""	""	""	""	""	""	"Framework(Instant Apps)"	"Framework"	"2"	""	""	""	""	""
""	"3.15"	"C-0-4"	"3.15/C-0-4"	"03150000.670004"	"Test Available"	""	""	""	"android.appsecurity.cts.EphemeralTest"	"testPackageInfo()"	"CtsAppSecurityHostTestCases"	""	""	""	""	""	""	"Framework(Instant Apps)"	"Framework"	"2"	""	""	""	""	""
""	"3.15"	"C-0-5"	"3.15/C-0-5"	"03150000.670005"	"Test Available"	""	""	""	"com.android.cts.verifier.instantapps.AppInfoTestActivity"	"com.android.cts.verifier.instantapps.AppInfoTestActivity"	"CtsVerifierInstantApps"	""	""	"New in Q"	"128338329"	"125919647"	"7527638"	"Framework(Instant Apps)"	"Framework"	"2"	""	""	""	""	""
""	"3.15"	"C-0-6"	"3.15/C-0-6"	"03150000.670006"	"Test Available"	""	""	""	"com.android.cts.verifier.instantapps.NotificationTestActivity"	"com.android.cts.verifier.instantapps.NotificationTestActivity"	"CtsVerifierInstantApps"	""	""	"New in Q"	"128338329"	"125919647"	"7527638"	"Framework(Instant Apps)"	"Framework"	"2"	""	""	""	""	""
""	"3.15"	"C-0-7"	"3.15/C-0-7"	"03150000.670007"	"Test Available"	""	""	""	"com.android.cts.verifier.instantapps.RecentAppsTestActivity"	"com.android.cts.verifier.instantapps.RecentAppsTestActivity"	"CtsVerifierInstantApps"	""	""	"New in Q"	"128338329"	"125919647"	"7527638"	"Framework(Instant Apps)"	"Framework"	"2"	""	""	""	""	""
""	"3.15"	"C-1-1"	"3.15/C-1-1"	"03150000.670101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.16"	"C-1-1"	"3.16/C-1-1"	"03160000.670101"	"Not testable"	""	""	""	""	""	""	"Cannot be tested standalone. CompanionTests are gated by this flag"	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"-1"	""	""	""	""	""
""	"3.16"	"C-1-2"	"3.16/C-1-2"	"03160000.670102"	"Test Available"	""	""	""	"com.android.cts.verifier.companion.CompanionDeviceTestActivity"	"com.android.cts.verifier.companion.CompanionDeviceTestActivity.*"	"CtsVerifierCompanion"	""	""	""	""	""	""	"Connectivity (Wifi / Telephony / Modem)"	"Connectivity"	"2"	""	""	""	""	""
""	"3.16"	"C-1-3"	"3.16/C-1-3"	"03160000.670103"	"Test Available"	""	""	""	"com.android.cts.verifier.companion.CompanionDeviceTestActivity"	"com.android.cts.verifier.companion.CompanionDeviceTestActivity.*"	"CtsVerifierCompanion"	""	""	""	""	""	""	"Connectivity (Wifi / Telephony / Modem)"	"Connectivity"	"2"	""	""	""	""	""
""	"3.16"	"H-1-1"	"3.16/H-1-1"	"03160000.720101"	"Test Available"	""	""	""	"com.android.cts.verifier.companion.CompanionDeviceTestActivity"	"public void.*"	"CtsVerifierCompanionDeviceTestCase"	""	""	""	""	""	""	"Connectivity (Wifi / Telephony / Modem)"	"Connectivity"	"2"	""	""	""	""	""
""	"3.17"	"C-1-1"	"3.17/C-1-1"	"03170000.670101"	"Test Available"	""	""	""	"android.app.cts.ActivityManagerProcessStateTest"	"testCantSaveStateLaunchAndSwitch"	"CtsAppTestCases"	""	""	""	""	""	""	"Framework(Activity/Window Manager)"	"Framework"	"2"	""	""	""	""	""
""	"3.17"	"C-1-2"	"3.17/C-1-2"	"03170000.670102"	"Test Available"	""	""	""	"android.app.cts.ActivityManagerProcessStateTest"	"testCantSaveStateLaunchAndSwitch"	"CtsAppTestCases"	"startActivityAndWaitForShow"	""	""	""	""	""	"Framework(Activity/Window Manager)"	"Framework"	"2"	""	""	""	""	""
""	"3.17"	"C-1-3"	"3.17/C-1-3"	"03170000.670103"	"Test Available"	""	""	""	"android.app.cts.ActivityManagerProcessStateTest"	"testCantSaveStateLaunchAndBackground"	"CtsAppTestCases"	""	""	""	""	""	""	"Framework(Activity/Window Manager)"	"Framework"	"2"	""	""	""	""	""
""	"3.17"	"C-2-1"	"3.17/C-2-1"	"03170000.670201"	"Test Available"	""	""	""	"android.app.cts.ActivityManagerProcessStateTest"	"public void .*"	"CtsAppTestCases"	""	""	""	""	""	""	"Framework(Activity/Window Manager)"	"Framework"	"2"	""	""	""	""	""
""	"3.18"	"C-1-1"	"3.18/C-1-1"	"03180000.670101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.18"	"C-1-2"	"3.18/C-1-2"	"03180000.670102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.18"	"C-1-3"	"3.18/C-1-3"	"03180000.670103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.18"	"C-1-4"	"3.18/C-1-4"	"03180000.670104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.18"	"C-1-5"	"3.18/C-1-5"	"03180000.670105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.1"	"A-0-1"	"3.2.1/A-0-1"	"03020100.650001"	"Test Available"	""	""	""	"same as 3.2.1/C-0-1"	"same as 3.2.1/C-0-1"	""	""	""	"New in Q"	"134623137"	"124333135"	"7061971"	"Framework (Privacy)"	"Framework"	"1"	""	""	""	""	""
""	"3.2.1"	"C-0-1"	"3.2.1/C-0-1"	"03020100.670001"	"Test Available"	""	""	""	"android.appsecurity.cts.PermissionHostTest android.permission.cts.*"	"public void.*"	"CtsAppSecurityHostTestCases CtsPermissionTestCases"	""	""	""	""	""	""	"Security"	"Security"	"1"	""	""	""	""	""
""	"3.2.2"	"C-0-1"	"3.2.2/C-0-1"	"03020200.670001"	"Test Available"	""	""	""	"android.os.cts.BuildTest"	"testBuildConstants testBuildFingerprint"	"CtsOsTestCases"	""	""	"Updated in Q"	""	"80051029"	"7189788"	"Framework(API compatibility)"	"Framework"	"2"	""	""	""	""	""
""	"3.2.3.1"	"A-0-1"	"3.2.3.1/A-0-1"	"03020301.650001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.1"	"C-0-1"	"3.2.3.1/C-0-1"	"03020301.670001"	"Test Available"	""	""	""	"android.content.cts.AvailableIntentsTest"	"public void.*"	"CtsContentTestCases"	"Not sure if this verifies that third party apps can ovveride these intents"	""	""	"132176534"	""	""	"Framework(API compatibility)"	"Framework"	"1"	""	""	""	""	""
""	"3.2.3.1"	"H-0-1"	"3.2.3.1/H-0-1"	"03020301.720001"	"Test Available"	""	""	""	"com.android.cts.documentclient"	"testOpenSimple testCreateNew testGetContent testTransferDocument testFindDocumentPathInScopedAccess"	"CtsAppSecurityHostTestCases"	""	""	""	""	""	""	"Security"	"Security"	"2"	""	""	""	""	""
""	"3.2.3.1"	"H-0-2"	"3.2.3.1/H-0-2"	"03020301.720002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.1"	"T-0-1"	"3.2.3.1/T-0-1"	"03020301.840001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.1"	"Tab-0-1"	"3.2.3.1/Tab-0-1"	"03020301.980001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.1"	"W-0-1"	"3.2.3.1/W-0-1"	"03020301.870001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.2"	"C-0-1"	"3.2.3.2/C-0-1"	"03020302.670001"	"Test Missing"	""	""	""	""	""	""	""	""	""	"132176534"	""	""	"Framework(API compatibility)"	"Framework"	"0"	""	""	""	""	""
""	"3.2.3.2"	"C-0-2"	"3.2.3.2/C-0-2"	"03020302.670002"	"Test Missing"	""	""	""	""	""	""	""	""	""	"132176534"	""	""	"Framework(API compatibility)"	"Framework"	"0"	""	""	""	""	""
""	"3.2.3.2"	"C-0-3"	"3.2.3.2/C-0-3"	"03020302.670003"	"Manually Testable Missing Test"	""	""	""	""	""	""	"Requires manual validation. No Settings#action defined Punted to R"	""	""	"136678964"	""	""	"Framework(API compatibility)"	"Framework"	"0.2"	""	""	""	""	""
""	"3.2.3.2"	"C-0-4"	"3.2.3.2/C-0-4"	"03020302.670004"	"Test Available"	""	""	""	"android.os.cts.OsHostTests"	"testIntentFilterHostValidation"	"CtsOsHostTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"2"	""	""	""	""	""
""	"3.2.3.2"	"C-0-5"	"3.2.3.2/C-0-5"	"03020302.670005"	"Test Available"	""	""	""	"android.os.cts.OsHostTests"	"testIntentFilterHostValidation"	"CtsOsHostTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"2"	""	""	""	""	""
""	"3.2.3.2"	"C-0-6"	"3.2.3.2/C-0-6"	"03020302.670006"	"Manually Testable Missing Test"	""	""	""	""	""	""	"Requires manually validation UI "	""	""	"136678964"	""	""	"Setup Wizard & Settings"	"SUW/Settings"	"0.2"	""	""	""	""	""
""	"3.2.3.2"	"C-0-7"	"3.2.3.2/C-0-7"	"03020302.670007"	"Manually Testable Missing Test"	""	""	""	""	""	""	"Requires manual validation for all devices"	""	""	"136678964"	""	""	"Setup Wizard & Settings"	"SUW/Settings"	"0.2"	""	""	""	""	""
""	"3.2.3.2"	"C-0-8"	"3.2.3.2/C-0-8"	"03020302.670008"	"Manually Testable Missing Test"	""	""	""	""	""	""	"Requires manual validation for all devices"	""	""	"136678964"	""	""	"Setup Wizard & Settings"	"SUW/Settings"	"0.2"	""	""	""	""	""
""	"3.2.3.3"	"C-0-1"	"3.2.3.3/C-0-1"	"03020303.670001"	"Test Available"	""	""	""	"android.signature.cts.intent.IntentTest"	"shouldNotFindUnexpectedIntents"	"CtsIntentSignatureTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"1"	""	""	""	""	""
""	"3.2.3.3"	"C-0-2"	"3.2.3.3/C-0-2"	"03020303.670002"	"Test Available"	""	""	""	"android.signature.cts.Intent.IntentTest"	"shouldNotFindUnexpectedIntents"	"CtsIntentSignatureTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"2"	""	""	""	""	""
""	"3.2.3.3"	"C-0-3"	"3.2.3.3/C-0-3"	"03020303.670003"	"Test Available"	""	""	""	"android.content.cts.AvailableIntentsTest android.systemintentnts.cts.TestsystemIntents android.content.cts.IntentTest android.app.cts.PendingIntentTest"	"android.content.cts.AvailableIntentsTest.* android.systemintentnts.cts.TestsystemIntents.* android.content.cts.IntentTest.* android.app.cts.PendingIntentTest.*"	"CtsContentTestCases CtsSystemIntentTestCases CtsAppTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"1"	""	""	""	""	""
""	"3.2.3.4"	"C-0-1"	"3.2.3.4/C-0-1"	"03020304.670001"	"Test Available"	""	""	""	"com.android.cts.intent.receiver.OwnerChangedBroadCastTest android.packageinstaller.admin.cts.SessionCommitBroadCastTest android.app.cts.WallpaperManagerTest android.app.cts.backgroundrestrictions.BroadcastsTest android.app.cts.backgroundrestrictions.BroadcastsTest"	"testOwnerChangedBroadcastReceived testBroadcastNotReceivedForDifferentLauncher wallPaperChangedBroadCastTest testNonSupportedBroadcastsNotDelivered_runtimeReceiver() testNonSupportedBroadcastsNotDelivered_manifestReceiver()"	"CtsDevicePolicyManagerTestCases CtsAdminPackageInstallerTestCases CtsAppTestCases CtsBackgroundRestrictionsTestCases CtsBackgroundRestrictionsTestCases"	""	""	""	""	""	""	"Framework(API compatibility)"	"Framework"	"1"	""	""	""	""	""
""	"3.2.3.5"	"C-1-1"	"3.2.3.5/C-1-1"	"03020305.670101"	"Test Available"	""	""	""	"android.systemintents.ctsTestSystemIntents"	"testSystemIntents()"	"CtsSystemIntentTestCases"	""	""	""	""	""	""	"Framework(Settings UI)"	"Framework"	"2"	""	""	""	""	""
""	"3.2.3.5"	"C-11-1"	"3.2.3.5/C-11-1"	"03020305.671101"	"Test Available"	""	""	""	"android.systemintents.cts.TestManageOverlayPermissionIntents"	"testStartManageAppOverlayPermissionIntent_whenCallerHasPermission_succeedsOrThrowsActivityNotFound"	"CtsSystemIntentTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-12-1"	"3.2.3.5/C-12-1"	"03020305.671201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-13-1"	"3.2.3.5/C-13-1"	"03020305.671301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-13-2"	"3.2.3.5/C-13-2"	"03020305.671302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-14-1"	"3.2.3.5/C-14-1"	"03020305.671401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-15-1"	"3.2.3.5/C-15-1"	"03020305.671501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
