Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,full_key,key_as_number
,3.2.3.5,C-3-2,,,,,3.2.3.5/C-3-2,"""C-3-2] MUST honor android.nfc.cardemulation.action.ACTION_CHANGE_DEFAULT intent to show an activity which opens a dialog to ask the user to change the default card emulation service for a certain category as described in the SDK. If device implementations report android.hardware.nfc; they: ""","""03020305.670302""","{'3.2.3.5', 'android.hardware.nfc', 'C-3-2', 'android.nfc.cardemulation.action.ACTION', 'ACTION_CHANGE_DEFAULT'}",,,,,,
,3.2.3.5,C-5-1,,,,,3.2.3.5/C-5-1,"""C-5-1] MUST honor the ‘android.bluetooth.adapter.action.REQUEST_ENABLE’ intent and show a system activity to allow the user to turn on Bluetooth. ""","""03020305.670501""","{'android.bluetooth.adapter.action.REQUEST', 'REQUEST_ENABLE', 'C-5-1', '3.2.3.5'}",,,,,,
,3.2.3.5,C-5-2,Test Available,android.app.notification.legacy.cts.ConditionProviderServiceTest,testDraw(),CtsLegacyNotification27TestCases,3.2.3.5/C-5-2,"""C-5-2] MUST honor the ‘android.bluetooth.adapter.action.REQUEST_DISCOVERABLE’ intent and show a system activity that requests discoverable mode. If device implementations support the DND feature; they: ""","""03020305.670502""","{'3.2.3.5', 'C-5-2', 'DND', 'REQUEST_DISCOVERABLE', 'android.bluetooth.adapter.action.REQUEST'}",,cts/tests/tests/notificationlegacy/notificationlegacy27/src/android/app/notification/legacy/cts/ConditionProviderServiceTest.java,,testDraw() testConstantStateNotSet() testAccessPicture(),{'cts/tests/tests/notificationlegacy/notificationlegacy27/src/android/app/notification/legacy/cts/ConditionProviderServiceTest.java': {...}},
,3.2.3.5,C-6-1,Test Available,android.app.notification.legacy.cts.ConditionProviderServiceTest,testDraw(),CtsLegacyNotification27TestCases,3.2.3.5/C-6-1,"""C-6-1] MUST implement an activity that would respond to the intent ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS; which for implementations with UI_MODE_TYPE_NORMAL it MUST be an activity where the user can grant or deny the app access to DND policy configurations. If device implementations allow users to use third-party input methods on the device; they: ""","""03020305.670601""","{'ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS', '3.2.3.5', 'C-6-1', 'DND', 'MODE_TYPE_NORMAL'}",,cts/tests/tests/notificationlegacy/notificationlegacy27/src/android/app/notification/legacy/cts/ConditionProviderServiceTest.java,,testDraw() testConstantStateNotSet() testAccessPicture(),"{'cts/tests/tests/systemintents/src/android/systemintents/cts/TestSystemIntents.java': {...}, 'cts/tests/tests/notificationlegacy/notificationlegacy27/src/android/app/notification/legacy/cts/ConditionProviderServiceTest.java': {...}}",
,3.2.3.5,C-7-1,Test Available,android.systemintents.cts.TestSystemIntents,getWindow(),CtsSystemIntentTestCases,3.2.3.5/C-7-1,"""C-7-1] MUST provide a user-accessible mechanism to add and configure third-party input methods in response to the android.settings.INPUT_METHOD_SETTINGS intent. If device implementations support third-party accessibility services; they: ""","""03020305.670701""","{'3.2.3.5', 'C-7-1', 'INPUT_METHOD_SETTINGS', 'android.settings.INPUT'}",,cts/tests/tests/systemintents/src/android/systemintents/cts/TestSystemIntents.java,,getWindow(),{'cts/tests/tests/systemintents/src/android/systemintents/cts/TestSystemIntents.java': {...}},
,3.2.3.5,C-8-1,,,,,3.2.3.5/C-8-1,"""C-8-1] MUST honor the android.settings.ACCESSIBILITY_SETTINGS intent to provide a user-accessible mechanism to enable and disable the third-party accessibility services alongside the preloaded accessibility services. If device implementations include support for Wi-Fi Easy Connect and expose the functionality to third-party apps; they: ""","""03020305.670801""","{'C-8-1', 'android.settings.ACCESSIBILITY', '3.2.3.5', 'ACCESSIBILITY_SETTINGS'}",,,,,,
,3.2.3.5,C-9-1,,,,,3.2.3.5/C-9-1,"""C-9-1] MUST implement the Settings#ACTION_PROCESS_WIFI_EASY_CONNECT_URI Intent APIs as described in the SDK documentation. If device implementations provide the data saver mode; they: *""","""03020305.670901""","{'C-9-1', 'ACTION_PROCESS_WIFI_EASY_CONNECT_URI', '3.2.3.5'}",,,,,,
,3.2.3.5,C-11-1,Test Available,android.content.syncmanager.cts.CtsSyncManagerTest,testNegativeSampleSize(),,3.2.3.5/C-11-1,"""C-11-1] MUST have an activity that handles the Settings.ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS intent but MAY implement it as a no-op. If device implementations declare the support for camera via android.hardware.camera.any they: ""","""03020305.671101""","{'ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SET', '3.2.3.5', 'C-11-1', 'android.hardware.camera.any', 'Settings.ACTION', 'TINGS'}",,cts/tests/tests/syncmanager/src/android/content/syncmanager/cts/CtsSyncManagerTest.java,,testNegativeSampleSize(),"{'cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAndProfileOwnerTest.java': {...}, 'cts/hostsidetests/devicepolicy/app/CrossProfileTestApps/CrossProfileAppsTest/src/com/android/cts/crossprofileappstest/CrossProfileAppsPermissionToInteractTest.java': {...}, 'cts/hostsidetests/angle/src/android/angle/cts/CtsAngleDeveloperOptionHostTest.java': {...}, 'cts/hostsidetests/angle/src/android/angle/cts/CtsAngleRulesFileTest.java': {...}, 'cts/hostsidetests/hdmicec/src/android/hdmicec/cts/playback/HdmiCecOneTouchPlayTest.java': {...}, 'cts/hostsidetests/backup/PreservedSettingsApp/src/android/cts/backup/preservedsettingsapp/PreservedSettingsRestoreTest.java': {...}, 'cts/hostsidetests/backup/OtherSoundsSettingsApp/src/android/cts/backup/othersoundssettingsapp/OtherSoundsSettingsTest.java': {...}, 'cts/hostsidetests/adbmanager/src/android/adbmanager/cts/AdbManagerHostDeviceTest.java': {...}, 'cts/hostsidetests/usage/src/android/app/usage/cts/AppIdleHostTest.java': {...}, 'cts/tests/framework/base/windowmanager/util/src/android/server/wm/settings/SettingsSession.java': {...}, 'cts/tests/AlarmManager/src/android/alarmmanager/cts/AppStandbyTests.java': {...}, 'cts/tests/quickaccesswallet/src/android/quickaccesswallet/cts/QuickAccessWalletClientTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/StaticMetadataTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/CaptureResultTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/CaptureRequestTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/ImageReaderTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/BurstCaptureTest.java': {...}, 'cts/tests/camera/src/android/hardware/camera2/cts/StillCaptureTest.java': {...}, 'cts/tests/contentcaptureservice/src/android/contentcaptureservice/cts/ChildlessActivityTest.java': {...}, 'cts/tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityGlobalActionsTest.java': {...}, 'cts/tests/autofillservice/src/android/autofillservice/cts/SettingsIntentTest.java': {...}, 'cts/tests/tests/systemintents/src/android/systemintents/cts/TestManageOverlayPermissionIntents.java': {...}, 'cts/tests/tests/systemintents/src/android/systemintents/cts/TestSystemIntents.java': {...}, 'cts/tests/tests/widget29/src/android/widget/cts29/ToastTest.java': {...}, 'cts/tests/tests/systemui/src/android/systemui/cts/WindowInsetsBehaviorTests.java': {...}, 'cts/tests/tests/media/src/android/media/cts/AudioSystemTest.java': {...}, 'cts/tests/tests/role/src/android/app/role/cts/RoleManagerTest.java': {...}, 'cts/tests/tests/view/src/android/view/cts/KeyCharacterMapTest.java': {...}, 'cts/tests/tests/telephony/current/src/android/telephony/cts/TelephonyManagerTest.java': {...}, 'cts/tests/tests/batterysaving/src/android/os/cts/batterysaving/BatterySaverLocationTest.java': {...}, 'cts/tests/tests/uiautomation/src/android/app/uiautomation/cts/UiAutomationTest.java': {...}, 'cts/tests/tests/permission/telephony/src/android/permission/cts/telephony/TelephonyManagerPermissionTest.java': {...}, 'cts/tests/tests/permission/src/android/permission/cts/LocationAccessCheckTest.java': {...}, 'cts/tests/tests/content/src/android/content/pm/cts/LauncherAppsTest.java': {...}, 'cts/tests/tests/app.usage/src/android/app/usage/cts/UsageStatsTest.java': {...}, 'cts/tests/tests/voicesettings/src/android/voicesettings/cts/AirplaneModeTest.java': {...}, 'cts/tests/tests/voicesettings/src/android/voicesettings/cts/BatterySaverModeTest.java': {...}, 'cts/tests/tests/provider/src/android/provider/cts/settings/SettingsTest.java': {...}, 'cts/tests/tests/provider/src/android/provider/cts/SettingsPanelTest.java': {...}, 'cts/tests/tests/syncmanager/src/android/content/syncmanager/cts/CtsSyncManagerTest.java': {...}}",
,3.2.3.5,C-12-1,,,,,3.2.3.5/C-12-1,"""C-12-1] MUST honor the android.media.action.STILL_IMAGE_CAMERA and android.media.action.STILL_IMAGE_CAMERA_SECURE intent and launch the camera in still image mode as described in the SDK. ""","""03020305.671201""","{'STILL_IMAGE_CAMERA', '3.2.3.5', 'C-12-1', 'STILL_IMAGE_CAMERA_SECURE', 'android.media.action.STILL'}",,,,,,
,3.2.3.5,C-13-1,,,,,3.2.3.5/C-13-1,"""C-13-1] MUST honor the intent android.app.action.ADD_DEVICE_ADMIN to invoke a UI to bring the user through adding the device administrator to the system (or allowing them to reject it). ""","""03020305.671301""","{'android.app.action.ADD', 'C-13-1', 'ADD_DEVICE_ADMIN', '3.2.3.5'}",,,,,,
,3.2.3.5,C-13-2,Test Available,com.android.cts.managedprofile.ProvisioningTest,invokeOnColorsChangedListenerTest_lockOnly(),,3.2.3.5/C-13-2,"""C-13-2] MUST honor the intents android.app.action.ADMIN_POLICY_COMPLIANCE; android.app.action.GET_PROVISIONING_MODE; android.app.action.PROVISIONING_SUCCESSFUL; android.app.action.PROVISION_MANAGED_DEVICE; android.app.action.PROVISION_MANAGED_PROFILE; android.app.action.SET_NEW_PARENT_PROFILE_PASSWORD; android.app.action.SET_NEW_PASSWORD & android.app.action.START_ENCRYPTION and have an activity to provide fulfillment for these intents as described in SDK here. If device implementations declare the android.software.autofill feature flag; they: ""","""03020305.671302""","{'SET_NEW_PASSWORD', 'android.app.action.START', 'android.app.action.PROVISIONING', '3.2.3.5', 'PROVISIONING_SUCCESSFUL', 'android.app.action.ADMIN', 'android.app.action.GET', 'android.app.action.PROVISION', 'ADMIN_POLICY_COMPLIANCE', 'android.app.action.SET', 'SET_NEW_PARENT_PROFILE_PASSWORD', 'C-13-2', 'GET_PROVISIONING_MODE', 'PROVISION_MANAGED_DEVICE', 'PROVISION_MANAGED_PROFILE', 'android.software.autofill', 'START_ENCRYPTION'}",,cts/hostsidetests/devicepolicy/app/ManagedProfile/src/com/android/cts/managedprofile/ProvisioningTest.java,,invokeOnColorsChangedListenerTest_both() invokeOnColorsChangedListenerTest_lockOnly() invokeOnColorsChangedListenerTest_systemOnly() wallpaperClearBroadcastTest(),"{'cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/ManagedProfileProvisioningSingleAdminTest.java': {...}, 'cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerPlusProfileOwnerTest.java': {...}, 'cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAndProfileOwnerTest.java': {...}, 'cts/hostsidetests/devicepolicy/app/ManagedProfile/src/com/android/cts/managedprofile/ProvisioningTest.java': {...}}",
,3.2.3.5,C-14-1,Test Available,android.autofillservice.cts.SettingsIntentTest,testBuilder_throwsException_whenZoomIsNegative(),CtsAutoFillServiceTestCases,3.2.3.5/C-14-1,"""C-14-1] MUST fully implement the AutofillService and AutofillManager APIs and honor the android.settings.REQUEST_SET_AUTOFILL_SERVICE intent to show a default app settings menu to enable and disable autofill and change the default autofill service for the user. If device implementations include a pre-installed app or wish to allow third-party apps to access the usage statistics; they: ""","""03020305.671401""","{'C-14-1', 'android.settings.REQUEST', '3.2.3.5', 'REQUEST_SET_AUTOFILL_SERVICE'}",,cts/tests/autofillservice/src/android/autofillservice/cts/SettingsIntentTest.java,,testBuilder_throwsException_whenZoomIsNegative(),{'cts/tests/autofillservice/src/android/autofillservice/cts/SettingsIntentTest.java': {...}},
,3.2.3.5,C-15-1,,,,,3.2.3.5/C-15-1,"""C-15-1] MUST still have an activity that handles the android.settings.ACTION_USAGE_ACCESS_SETTINGS intent pattern but MUST implement it as a no-op; that is to have an equivalent behavior as when the user is declined for access. If device implementations report the feature android.hardware.audio.output; they: ""","""03020305.671501""","{'C-15-1', '3.2.3.5', 'android.settings.ACTION', 'ACTION_USAGE_ACCESS_SETTINGS', 'android.hardware.audio.output'}",,,,,,
,3.9.11,C-1-3,,,,,3.9.11/C-1-3,,"""03091100.670103""",,,,,,,
,3.9.2,C-2-1,Test Available,android.telephony.embms.cts.MbmsDownloadCallbackTest,getResources(),CtsTelephonyTestCases,3.9.2/C-2-1,"""C-2-1] MUST support the ability to specify a separate lock screen meeting the following requirements to grant access to apps running in a managed profile only. Device implementations MUST honor the DevicePolicyManager.ACTION_SET_NEW_PASSWORD intent and show an interface to configure a separate lock screen credential for the managed profile. The lock screen credentials of the managed profile MUST use the same credential storage and management mechanisms as the parent profile; as documented on the Android Open Source Project Site. The DPC password policies MUST apply to only the managed profile's lock screen credentials unless called upon the DevicePolicyManager instance returned by getParentProfileInstance. When contacts from the managed profile are displayed in the preinstalled call log; in-call UI; in-progress and missed-call notifications; contacts and messaging apps they SHOULD be badged with the same badge used to indicate managed profile applications. <h4 id=""","""03090200.670201""","{'3.9.2', 'DevicePolicyManager.ACTION', 'C-2-1', 'DPC', 'ACTION_SET_NEW_PASSWORD'}",,cts/tests/tests/telephony/current/src/android/telephony/embms/cts/MbmsDownloadCallbackTest.java,,getResources(),"{'cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAndProfileOwnerTestApi25.java': {...}, 'cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceOwnerPlusProfileOwnerTest.java': {...}, 'cts/hostsidetests/devicepolicy/src/com/android/cts/devicepolicy/DeviceAndProfileOwnerTest.java': {...}, 'cts/hostsidetests/devicepolicy/app/TransferOwnerOutgoingApp/src/com/android/cts/transferowner/TransferProfileOwnerOutgoingTest.java': {...}, 'cts/hostsidetests/devicepolicy/app/TransferOwnerOutgoingApp/src/com/android/cts/transferowner/TransferDeviceOwnerOutgoingTest.java': {...}, 'cts/hostsidetests/devicepolicy/app/ManagedProfile/src/com/android/cts/managedprofile/ProvisioningTest.java': {...}, 'cts/tests/tests/telephony/current/src/android/telephony/embms/cts/MbmsDownloadCallbackTest.java': {...}}",
