"Section"	"section_id"	"req_id"	"Test Availability"	"class_def"	"method"	"module"	"method_text"	"full_key"	"requirement"	"key_as_number"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"matched_terms"	"search_roots"	"qualified_method"	"max_matches"	"file_name"	"matched_files"	"methods_string"	"urls"	"protected"	"Area"	"Shortened"	"Test Level"
"270:744174) 9.9.3  . Encryption Methods"	"9.9.3"	"C-1-12"	""	""	""	""	""	"9.9.3/C-1-12"	"""C-1-12] If the device has Advanced Encryption Standard (AES) instructions (such as ARMv8 Cryptography Extensions on ARM-based devices, or AES-NI on x86-based devices) then the AES-based options above for file name, file contents, and filesystem metadata encryption MUST be used, not Adiantum. && C-1-12] If the device has Advanced Encryption Standard (AES) instructions (such as ARMv8 Cryptography Extensions on ARM-based devices, or AES-NI on x86-based devices) then the AES-based options above for file name, file contents, and filesystem metadata encryption MUST be used, not Adiantum. | C-1-12] MUST be securely erased during bootloader unlock and lock as described here. SHOULD make preinstalled essential apps (e.g. Alarm, Phone, Messenger) Direct Boot aware. The upstream Android Open Source project provides a preferred implementation of File Based Encryption based on the Linux kernel &quot;fscrypt&quot; encryption feature, and of Metadata Encryption based on the Linux kernel &quot;dm-default-key&quot; feature. <h4 id=""994_resume_on_reboot"" """	"09090300.670112"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20:171592) 2.2.7.4  . Performance"	"2.2.7.4"	"H-1-3"	""	""	""	""	""	"2.2.7.4/H-1-3"	"""8.2/H-1-3] MUST ensure a sequential read performance of at least 200 MB/s."""	"02020704.720103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.9.3"	"A-1-1"	""	""	""	""	""	"3.9.3/A-1-1"	""">3.9.3/A-1-1] MUST implement all of the User lifecycle properties INITIAL_USER_INFO, SWITCH_USER, CREATE_USER, REMOVE_USER. Automotive device implementations: [<a href=""#3_14_media_ui"""""	"03090300.650101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18:169364) 2.2.7.2  . Camera"	"2.2.7.2"	"H-1-4"	""	""	""	""	""	"2.2.7.2/H-1-4"	"""7.5/H-1-4] MUST support CameraMetadata.SENSOR_INFO_TIMESTAMP_SOURCE_REALTIME for both primary cameras. && 7.5/H-1-4] MUST support CameraMetadata.SENSOR_INFO_TIMESTAMP_SOURCE_REALTIME for both primary cameras. | 7.5/H-1-4] MUST support CameraMetadata.SENSOR_INFO_TIMESTAMP_SOURCE_REALTIME for both primary cameras."""	"02020702.720104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255:716831) 9.8.2  . Recording"	"9.8.2"	"H-4-2"	""	""	""	""	""	"9.8.2/H-4-2"	""">9.8.2/H-4-2] MUST display the list of Recent and Active apps using microphone as returned from PermissionManager.getIndicatorAppOpUsageData(), along with any attribution messages associated with them. [<a href=""#9_8_2_privacy"""""	"09080200.720402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201:599616) 7.4.2.4  . Wi"	"7.4.2.4"	"C-1-4"	""	""	""	""	""	"7.4.2.4/C-1-4"	"""C-1-4] MUST declare android.hardware.wifi.passpoint feature flag."""	"07040204.670104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.1.4.1"	"A-0-1"	""	""	""	""	""	"7.1.4.1/A-0-1"	""">7.1.4.1/A-0-1] MUST declare OpenGL ES 3.1 or higher. [<a href=""#7_1_display_and_graphics"""""	"07010401.650001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250:699468) 9.5  . Multi"	"9.5"	"C-3-4"	""	""	""	""	""	"9.5/C-3-4"	"""C-3-4] MUST NOT allow the additional user profile to be created if there is a Device Owner provisioned (see section 3.9.1) or allow a Device Owner to be provisioned without removing the additional user profile first. <h3 id=""96_premium_sms_warning"" """	"09050000.670304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67:301999) 3.5.2  . Application Hibernation"	"3.5.2"	"C-1-3"	""	""	""	""	""	"3.5.2/C-1-3"	"""C-1-3]. && C-1-3]. | C-1-3] MUST only apply restrictions affecting all device users when there is evidence that the package has not been used by ANY user for some period of time. This duration is STRONGLY RECOMMENDED to be one month or longer."""	"03050200.670103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206:607824) 7.4.3  . Bluetooth"	"7.4.3"	"C-6-2"	""	""	""	""	""	"7.4.3/C-6-2"	"""C-6-2] MUST gate Bluetooth access behind the android.permission.ACCESS_FINE_LOCATION. <h4 id=""744_near-field_communications"" """	"07040300.670602"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190:576119) 7.3.10  . Biometric Sensors"	"7.3.10"	"C-1-9"	""	""	""	""	""	"7.3.10/C-1-9"	"""C-1-9] MUST challenge the user for the recommended primary authentication (e.g. PIN, pattern, password) after no more than twenty false trials and no less than ninety-second backoff time for biometric verification - where a false trial is one with an adequate capture quality (BIOMETRIC_ACQUIRED_GOOD) that does not match an enrolled biometric. && C-1-9] MUST challenge the user for the recommended primary authentication (e.g. PIN, pattern, password) after no more than twenty false trials and no less than ninety-second backoff time for biometric verification - where a false trial is one with an adequate capture quality (BIOMETRIC_ACQUIRED_GOOD) that does not match an enrolled biometric. | C-1-9] if the spoof and imposter acceptance rates are higher than 7% as measure by the Android Biometrics Test Protocols. && C-1-9] MUST challenge the user for the recommended primary authentication (e.g. PIN, pattern, password) after no more than twenty false trials and no less than ninety-second backoff time for biometric verification - where a false trial is one with an adequate capture quality (BIOMETRIC_ACQUIRED_GOOD) that does not match an enrolled biometric. && C-1-9] MUST challenge the user for the recommended primary authentication (e.g. PIN, pattern, password) after no more than twenty false trials and no less than ninety-second backoff time for biometric verification - where a false trial is one with an adequate capture quality (BIOMETRIC_ACQUIRED_GOOD) that does not match an enrolled biometric. | C-1-9] if the spoof and imposter acceptance rates are higher than 7% as measure by the Android Biometrics Test Protocols. | C-1-9] - where a false trial is one with an adequate capture quality (BIOMETRIC_ACQUIRED_GOOD) that does not match an enrolled biometric."""	"07031000.670109"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20:171592) 2.2.7.4  . Performance"	"2.2.7.4"	"H-1-4"	""	""	""	""	""	"2.2.7.4/H-1-4"	"""8.2/H-1-4] MUST ensure a random read performance of at least 25 MB/s. If Handheld device implementations return android.os.Build.VERSION_CODES.S for android.os.Build.VERSION_CODES.MEDIA_PERFORMANCE_CLASS, then they: """	"02020704.720104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67:301999) 3.5.2  . Application Hibernation"	"3.5.2"	"C-1-6"	""	""	""	""	""	"3.5.2/C-1-6"	"""C-1-6] and"""	"03050200.670106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104:385404) 3.18  . Contacts"	"3.18"	"C-0-8"	""	""	""	""	""	"3.18/C-0-8"	"""C-0-8] MUST implement support for Incremental File System as documented here.  && C-0-8] MUST implement support for Incremental File System as documented here.  | C-0-8] and"""	"03180000.670008"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259:726011) 9.8.6  . Content Capture and App Search"	"9.8.6"	"C-0-7"	""	""	""	""	""	"9.8.6/C-0-7"	"""C-0-7] MUST provide a user affordance to opt-out of the data, collected via AppSearch or proprietary means from being shown in android platform e.g launcher."""	"09080600.670007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270:744174) 9.9.3  . Encryption Methods"	"9.9.3"	"C-1-16"	""	""	""	""	""	"9.9.3/C-1-16"	"""C-1-16] MUST ensure that all non-deleted encrypted filenames on persistent storage in distinct directories were encrypted using distinct combinations of encryption key and initialization vector (IV). """	"09090300.670116"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20:171592) 2.2.7.4  . Performance"	"2.2.7.4"	"H-2-2"	""	""	""	""	""	"2.2.7.4/H-2-2"	"""8.2/H-2-2] MUST ensure a random write performance of at least 10 MB/s."""	"02020704.720202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265:736337) 9.8.12  . Music Recognition"	"9.8.12"	"C-1-4"	""	""	""	""	""	"9.8.12/C-1-4"	"""C-1-4] MUST ensure that when MusicRecognitionManagerService accesses the audio record and forwards it to the application implementing the MusicRecognitionService, the audio access is tracked via invocations of AppOpsManager.noteOp / startOp. If device implementations of MusicRecognitionManagerService or MusicRecognitionService store any audio data captured, they: """	"09081200.670104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104:385404) 3.18  . Contacts"	"3.18"	"C-0-2"	""	""	""	""	""	"3.18/C-0-2"	"""C-0-2] MUST support verifying “.apk” files using the APK Signature Scheme v3 , APK Signature Scheme v2 and JAR signing."""	"03180000.670002"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194:582721) 7.4.1  . Telephony"	"7.4.1"	"C-4-1"	""	""	""	""	""	"7.4.1/C-4-1"	"""C-4-1] MUST NOT report ‘NETWORK_TYPE_IWLAN’ via NetworkRegistrationInfo#getAccessNetworkTechnology() when NetworkRegistrationInfo#getTransportType() is reported as ‘TRANSPORT_TYPE_WWAN’ for the same NetworkRegistrationInfo instance. If device implementations support a single IP Multimedia Subsystem (IMS) registration for both multimedia telephony service (MMTEL) and rich communication service (RCS) features and are expected to comply with cellular carrier requirements regarding using a single IMS registration for all IMS signalling traffic, they: """	"07040100.670401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197:593606) 7.4.2  . IEEE 802.11"	"7.4.2"	"C-1-10"	""	""	""	""	""	"7.4.2/C-1-10"	"""C-1-10] MUST randomize Probe request sequence number between the last probe request of a scan and the first probe request of the next scan."""	"07040200.670110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182:543329) 7.3.2  . Magnetometer"	"7.3.2"	"C-1-10"	""	""	""	""	""	"7.3.2/C-1-10"	"""C-1-10] MUST implement the TYPE_MAGNETIC_FIELD_UNCALIBRATED sensor. If device implementations include a 3-axis magnetometer, an accelerometer sensor, and a 3-axis gyroscope sensor, they: """	"07030200.670110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201:599616) 7.4.2.4  . Wi"	"7.4.2.4"	"C-1-3"	""	""	""	""	""	"7.4.2.4/C-1-3"	"""C-1-3] MUST support IEEE 802.11u standard, specifically related to Network Discovery and Selection, such as Generic Advertisement Service (GAS) and Access Network Query Protocol (ANQP)."""	"07040204.670103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255:716831) 9.8.2  . Recording"	"9.8.2"	"H-4-1"	""	""	""	""	""	"9.8.2/H-4-1"	""">9.8.2/H-4-1] MUST display the microphone indicator when an app is accessing audio data from the microphone, but not when the microphone is only accessed by HotwordDetectionService, SOURCE_HOTWORD, ContentCaptureService or apps holding the roles called out in section 9.1 with CDD identifier [C-4-X]. . [<a href=""#9_8_2_privacy"""""	"09080200.720401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188:552069) 7.3.8  . Proximity Sensor"	"7.3.8"	"C-1-3"	""	""	""	""	""	"7.3.8/C-1-3"	"""C-1-3] MUST use 0 centimeters as the near reading and 5 centimeters as the far reading."""	"07030800.670103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250:699468) 9.5  . Multi"	"9.5"	"C-3-1"	""	""	""	""	""	"9.5/C-3-1"	"""C-3-1] MUST only provide access to storage or data that is either already accessible to the parent user profile or is directly owned by this additional user profile."""	"09050000.670301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.1.4"	"7.1.4"	"C-1-11"	""	""	""	""	""	"7.1.4/C-1-11"	"""C-1-11] MUST NOT enumerate support for the VK_KHR_video_queue, VK_KHR_video_decode_queue, or VK_KHR_video_encode_queue extensions."""	"07010400.670111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20:171592) 2.2.7.4  . Performance"	"2.2.7.4"	"H-2-1"	""	""	""	""	""	"2.2.7.4/H-2-1"	"""8.2/H-2-1] MUST ensure a sequential write performance of at least 125 MB/s."""	"02020704.720201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201:599616) 7.4.2.4  . Wi"	"7.4.2.4"	"C-1-6"	""	""	""	""	""	"7.4.2.4/C-1-6"	"""C-1-6] MUST support at least the following subset of device provisioning protocols as defined in the Wi-Fi Alliance Passpoint R2: EAP-TTLS authentication and SOAP-XML."""	"07040204.670106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86:340540) 3.8.13  . Unicode and Font"	"3.8.13"	"C-1-3"	""	""	""	""	""	"3.8.13/C-1-3"	"""C-1-3] MUST NOT remove or modify NotoColorEmoji.tff in the system image. (It is acceptable to add a new emoji font to override emoji in NotoColorEmoji.tff) SHOULD support the skin tone and diverse family emojis as specified in the Unicode Technical Report #51. If device implementations include an IME, they: SHOULD provide an input method to the user for these emoji characters. Android includes support to render Myanmar fonts. Myanmar has several non-Unicode compliant fonts, commonly known as “Zawgyi,” for rendering Myanmar languages. If device implementations include support for Burmese, they: *"""	"03081300.670103"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197:593606) 7.4.2  . IEEE 802.11"	"7.4.2"	"C-1-8"	""	""	""	""	""	"7.4.2/C-1-8"	"""C-1-8] MUST use one consistent MAC address (SHOULD NOT randomize MAC address halfway through a scan)."""	"07040200.670108"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265:736337) 9.8.12  . Music Recognition"	"9.8.12"	"C-2-2"	""	""	""	""	""	"9.8.12/C-2-2"	"""C-2-2] MUST NOT share such data beyond the MusicRecognitionService, except with explicit user consent every time it is shared. <h4 id=""9813_sensorprivacymanager"" """	"09081200.670202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17:166031) 2.2.7.1  . Media"	"2.2.7.1"	"H-1-2"	""	""	""	""	""	"2.2.7.1/H-1-2"	"""5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. && 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. | 5.3/H-1-2] MUST NOT drop more than 1 frame in 10 seconds during a video resolution change in a 30 fps video session under load. Load is defined as a concurrent 1080p to 720p video-only transcoding session using hardware video codecs, as well as a 128Kbps AAC audio playback. && 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. && 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. | 5.3/H-1-2] MUST NOT drop more than 1 frame in 10 seconds during a video resolution change in a 30 fps video session under load. Load is defined as a concurrent 1080p to 720p video-only transcoding session using hardware video codecs, as well as a 128Kbps AAC audio playback. | 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC, HEVC, VP9* or later) in any codec combination running concurrently at 720p resolution@30 fps. *Only 2 instances are required if VP9 codec is present. && 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. && 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. | 5.3/H-1-2] MUST NOT drop more than 1 frame in 10 seconds during a video resolution change in a 30 fps video session under load. Load is defined as a concurrent 1080p to 720p video-only transcoding session using hardware video codecs, as well as a 128Kbps AAC audio playback. && 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. && 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC or HEVC) in any codec combination running concurrently at 720p resolution@30 fps. | 5.3/H-1-2] MUST NOT drop more than 1 frame in 10 seconds during a video resolution change in a 30 fps video session under load. Load is defined as a concurrent 1080p to 720p video-only transcoding session using hardware video codecs, as well as a 128Kbps AAC audio playback. | 5.1/H-1-2] MUST support 6 instances of hardware video decoder sessions (AVC, HEVC, VP9* or later) in any codec combination running concurrently at 720p resolution@30 fps. *Only 2 instances are required if VP9 codec is present. | 5.3/H-1-2] MUST NOT drop more than 2 frames in 10 seconds during a video resolution change in a 60 fps video session under load. Load is defined as a concurrent 1080p to 720p video-only transcoding session using hardware video codecs, as well as a 128 kbps AAC audio playback."""	"02020701.720102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18:169364) 2.2.7.2  . Camera"	"2.2.7.2"	"H-1-6"	""	""	""	""	""	"2.2.7.2/H-1-6"	"""7.5/H-1-6] MUST have camera2 startup latency (open camera to first preview frame) &lt; 600ms as measured by the CTS camera PerformanceTest under ITS lighting conditions (3000K) for both primary cameras. If Handheld device implementations return android.os.Build.VERSION_CODES.S for android.os.Build.VERSION_CODES.MEDIA_PERFORMANCE_CLASS, then they:  && 7.5/H-1-6] MUST have camera2 startup latency (open camera to first preview frame) &lt; 600ms as measured by the CTS camera PerformanceTest under ITS lighting conditions (3000K) for both primary cameras. If Handheld device implementations return android.os.Build.VERSION_CODES.S for android.os.Build.VERSION_CODES.MEDIA_PERFORMANCE_CLASS, then they:  | 7.5/H-1-6] MUST have camera2 startup latency (open camera to first preview frame) &lt; 500 ms as measured by the CTS camera PerformanceTest under ITS lighting conditions (3000K) for both primary cameras."""	"02020702.720106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66:300552) 3.5.1  . Application Restriction"	"3.5.1"	"C-1-9"	""	""	""	""	""	"3.5.1/C-1-9"	"""C-1-9] MUST report all app restriction events via UsageStats."""	"03050100.670109"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18:169364) 2.2.7.2  . Camera"	"2.2.7.2"	"H-1-8"	""	""	""	""	""	"2.2.7.2/H-1-8"	"""7.5/H-1-8] MUST support CameraMetadata.REQUEST_AVAILABLE_CAPABILITIES_RAW and android.graphics.ImageFormat.RAW_SENSOR for the primary back camera. <h4 id=""2273_hardware"" """	"02020702.720108"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190:576119) 7.3.10  . Biometric Sensors"	"7.3.10"	"C-3-6"	""	""	""	""	""	"7.3.10/C-3-6"	"""C-3-6] Must enable biometric-backed keystore keys to third-party applications. If device implementations contain an under-display fingerprint sensor (UDFPS), they: """	"07031000.670306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255:716831) 9.8.2  . Recording"	"9.8.2"	"T-4-2"	""	""	""	""	""	"9.8.2/T-4-2"	""">9.8.2/T-4-2] MUST not hide the microphone indicator for system apps that have visible user interfaces or direct user interaction. If Television device implementations declare android.hardware.camera.any, they: [[<a href=""#9_8_2_privacy"""""	"09080200.840402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19:170348) 2.2.7.3  . Hardware"	"2.2.7.3"	"H-1-1"	""	""	""	""	""	"2.2.7.3/H-1-1"	"""7.1.1.1/H-1-1] MUST have screen resolution of at least 1080p. && 7.1.1.1/H-1-1] MUST have screen resolution of at least 1080p. | 7.1.1.3/H-1-1] MUST have screen density of at least 400 dpi. && 7.1.1.1/H-1-1] MUST have screen resolution of at least 1080p. && 7.1.1.1/H-1-1] MUST have screen resolution of at least 1080p. | 7.1.1.3/H-1-1] MUST have screen density of at least 400 dpi. | 7.6.1/H-1-1] MUST have at least 6 GB of physical memory. If Handheld device implementations return android.os.Build.VERSION_CODES.S for android.os.Build.VERSION_CODES.MEDIA_PERFORMANCE_CLASS, then they: """	"02020703.720101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242:676721) 8.3  . Power"	"8.3"	"C-1-6"	""	""	""	""	""	"8.3/C-1-6"	"""C-1-6] MUST provide user affordance to display all apps that are exempted from App Standby and Doze power-saving modes or any battery optimizations and MUST implement the ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS intent to ask the user to allow an app to ignore battery optimizations."""	"08030000.670106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270:744174) 9.9.3  . Encryption Methods"	"9.9.3"	"C-1-6"	""	""	""	""	""	"9.9.3/C-1-6"	"""C-1-6] MUST encrypt file names using AES-256-CBC-CTS or Adiantum."""	"09090300.670106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270:744174) 9.9.3  . Encryption Methods"	"9.9.3"	"C-1-10"	""	""	""	""	""	"9.9.3/C-1-10"	"""C-1-10] MUST be unique and distinct, in other words no user&#39;s CE or DE key matches any other user&#39;s CE or DE keys."""	"09090300.670110"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246:691929) 9.1  . Permissions"	"9.1"	"C-0-12"	""	""	""	""	""	"9.1/C-0-12"	"""C-0-12] MUST NOT provide any custom functions or APIs to bypass the permission restrictions defined in setPermissionPolicy and setPermissionGrantState APIs. """	"09010000.670012"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18:169364) 2.2.7.2  . Camera"	"2.2.7.2"	"H-1-7"	""	""	""	""	""	"2.2.7.2/H-1-7"	"""7.5/H-1-7] For apps targeting API level 31 or higher, the camera device MUST NOT support JPEG capture resolutions smaller than 1080p for both primary cameras."""	"02020702.720107"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246:691929) 9.1  . Permissions"	"9.1"	"C-0-14"	""	""	""	""	""	"9.1/C-0-14"	"""C-0-14] MUST only assign roles to applications with functionalities that meet the role requirements. """	"09010000.670014"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190:576119) 7.3.10  . Biometric Sensors"	"7.3.10"	"C-3-5"	""	""	""	""	""	"7.3.10/C-3-5"	"""C-3-5] MUST re-generate Authenticator ID for all Class 3 biometrics supported on device if any of them is re-enrolled."""	"07031000.670305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.1.4"	"7.1.4"	"C-2-3"	""	""	""	""	""	"7.1.4/C-2-3"	"""C-2-3] MUST report the maximum version of the OpenGL ES dEQP tests supported via the android.software.opengles.deqp.level feature flag."""	"07010400.670203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265:736337) 9.8.12  . Music Recognition"	"9.8.12"	"C-2-1"	""	""	""	""	""	"9.8.12/C-2-1"	"""C-2-1] MUST NOT store any raw audio or audio fingerprints on disk at all, or in memory for longer than 14 days."""	"09081200.670201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
