"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"requirement"	"Test Availability"	"search_roots"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"max_matches"	"class_defs"	"methods"	"modules"	"protected"	"Area"	"Shortened"	"Test Level"	"class_def"	"method"	"module"	"class_defs"	"methods"	"modules"	"file_name"	"matched_files"	"methods_string"	"urls"	"method_text"	"matched_terms"	"qualified_method"
"7.3.10  Biometric Sensors"	"7.3.10"	"C-4-2"	"7.3.10/C-4-2"	"07031000.670402"	"""C-4-2] MUST recognize and honor each parameter name defined as a constant     in the [Authenticators](https://developer.android.com/reference/android/hardware/biometrics/BiometricManager.Authenticators)     class and any combinations thereof.     Conversely, MUST NOT honor or recognize integer constants passed to the     [canAuthenticate(int)](https://developer.android.com/reference/android/hardware/biometrics/BiometricManager#canAuthenticate%28int%29)     and [setAllowedAuthenticators(int)](https://developer.android.com/reference/android/hardware/biometrics/BiometricPrompt.Builder#setAllowedAuthenticators%28int%29)     methods other than those documented as public constants in     [Authenticators](https://developer.android.com/reference/android/hardware/biometrics/BiometricManager.Authenticators)     and any combinations thereof. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.1.4.2 Vulkan"	"7.1.4.2"	"C-1-10"	"7.1.4.2/C-1-10"	"07010402.670110"	"""C-1-10] MUST pass all Vulkan dEQP Tests in the test lists between     version `132317953` and the version specified in the     `android.software.vulkan.deqp.level` feature flag. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-4-1"	"7.4.5.2/C-4-1"	"07040502.670401"	"""C-4-1] MUST simultaneously meet the above requirements on each network     when the device is simultaneously connected to more than one network type.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-12-3"	"3.2.3.5/C-12-3"	"03020305.671203"	"""C-12-3] MUST honor only allow preinstalled Android applications to handle the following intents [`MediaStore.ACTION_IMAGE_CAPTURE`](https://developer.android.com/reference/android/provider/MediaStore.html#ACTION_IMAGE_CAPTURE), [`MediaStore.ACTION_IMAGE_CAPTURE_SECURE`](https://developer.android.com/reference/android/provider/MediaStore.html#ACTION_IMAGE_CAPTURE_SECURE), and [`MediaStore.ACTION_VIDEO_CAPTURE`](https://developer.android.com/reference/android/provider/MediaStore.html#ACTION_VIDEO_CAPTURE) as described in the [SDK document](https://developer.android.com/preview/behavior-changes-11?hl=zh-tw#media-capture).  If device implementations report `android.software.device_admin`, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.16  Application Data Migration"	"9.16"	"C-1-2"	"9.16/C-1-2"	"09160000.670102"	"""C-1-2] MUST securely confirm the primary authentication on the source      device and confirm with the user intent to copy the data on the source      device before any data is transferred. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-12-2"	"3.2.3.5/C-12-2"	"03020305.671202"	"""C-12-2] MUST honor the [`android.media.action.VIDEO_CAMERA`](https://developer.android.com/reference/android/provider/MediaStore#INTENT_ACTION_VIDEO_CAMERA) intent to launch the camera in video mode as described in the SDK. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10  Biometric Sensors"	"7.3.10"	"C-5-1"	"7.3.10/C-5-1"	"07031000.670501"	"""C-5-1] MUST by default require an additional confirmation step     (e.g. a button press). """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-15-1"	"3.2.3.5/C-15-1"	"03020305.671501"	"""C-15-1] MUST still have an activity that handles the [android.settings.ACTION_USAGE_ACCESS_SETTINGS](https://developer.android.com/reference/android/provider/Settings.html#ACTION&lowbar;USAGE&lowbar;ACCESS&lowbar;SETTINGS) intent pattern but MUST implement it as a no-op, that is to have an equivalent behavior as when the user is declined for access.  If device implementations report the feature `android.hardware.audio.output`, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.3  Software"	"3.8.4"	"H-1-1"	"3.8.4/H-1-1"	"03080400.720101"	"""[3.8.4/H-1-1]* MUST display     conversation notifications ahead of non conversation notifications with     the exception of ongoing foreground service notifications and     [importance:high](https://developer.android.com/reference/android/app/NotificationManager#IMPORTANCE_HIGH)     notifications.  If Android Handheld device implementations support a lock screen, they:  *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10  Biometric Sensors"	"7.3.10"	"C-6-1"	"7.3.10/C-6-1"	"07031000.670601"	"""C-6-1] MUST meet the requirements for **Class 3** as defined in this     section below. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-14-1"	"3.2.3.5/C-14-1"	"03020305.671401"	"""C-14-1] MUST fully implement the [`AutofillService`](https://developer.android.com/reference/android/service/autofill/AutofillService.html) and [`AutofillManager`](https://developer.android.com/reference/android/view/autofill/AutofillManager.html) APIs and honor the [android.settings.REQUEST_SET_AUTOFILL_SERVICE](https://developer.android.com/reference/android/provider/Settings.html#ACTION_REQUEST_SET_AUTOFILL_SERVICE) intent to show a default app settings menu to enable and disable autofill and change the default autofill service for the user.  If device implementations include a pre-installed app or wish to allow third-party apps to access the usage statistics, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-10-1"	"3.2.3.5/C-10-1"	"03020305.671001"	"""C-10-1] MUST provide a user interface in the settings, that handles the [`Settings.ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS`](https://developer.android.com/reference/android/provider/Settings.html#ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS) intent, allowing users to add applications to or remove applications from the allow list.  If device implementations do not provide the data saver mode, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.8.6  Themes"	"3.8.6"	"C-1-3"	"3.8.6/C-1-3"	"03080600.670103"	"""C-1-3] MUST use the [Roboto version 2.x](https://github.com/google/roboto)     fonts as the out-of-box Sans-serif font family for languages that Roboto     supports.  Android also includes a “Device Default” theme family as a set of defined styles for application developers to use if they want to match the look and feel of the device theme as defined by the device implementer.  *   Device implementations MAY modify the [Device Default theme attributes](     http://developer.android.com/reference/android/R.style.html) exposed to     applications.  Android supports a variant theme with translucent system bars, which allows application developers to fill the area behind the status and navigation bar with their app content. To enable a consistent developer experience in this configuration, it is important the status bar icon style is maintained across different device implementations.  If device implementations include a system status bar, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.15  Instant Apps"	"3.15"	"C-1-1"	"3.15/C-1-1"	"03150000.670101"	"""C-1-1] MUST preload one or more applications or service components     with an intent handler for the intents listed in the SDK [here](https://developer.android.com/topic/google-play-instant/instant-app-intents)     and make the intents visible for Instant Apps."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18  Contacts"	"3.18"	"C-1-3"	"3.18/C-1-3"	"03180000.670103"	"""C-1-3] Raw contacts that are inserted by third party applications with      the **default local account** (i.e. by setting null values for      `ACCOUNT_NAME` and `ACCOUNT_TYPE`) MUST be inserted to the **custom local      account**. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-9-1"	"3.2.3.5/C-9-1"	"03020305.670901"	"""C-9-1] MUST implement the [Settings#ACTION_PROCESS_WIFI_EASY_CONNECT_URI](https://developer.android.com/reference/android/provider/Settings.html#ACTION_PROCESS_WIFI_EASY_CONNECT_URI) Intent APIs as described in the SDK documentation.  If device implementations provide the data saver mode, they: """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.3.3  Software"	"3.2.3.1"	"T-0-1"	"3.2.3.1/T-0-1"	"03020301.840001"	"""[3.2.3.1/T-0-1]  MUST preload one or more applications or service components with an intent handler, for all the public intent filter patterns defined by the following application intents listed [here](https://developer.android.com/about/versions/11/reference/common-intents-30). *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.5.3  Software"	"3.2.3.1"	"A-0-1"	"3.2.3.1/A-0-1"	"03020301.650001"	"""[3.2.3.1/A-0-1]  MUST preload one or more applications or service components with an intent handler, for all the public intent filter patterns defined by the following application intents listed [here](https://developer.android.com/about/versions/11/reference/common-intents-30).  *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.3  Bluetooth"	"7.4.3"	"C-3-5"	"7.4.3/C-3-5"	"07040300.670305"	"""C-3-5] MUST implement a Resolvable Private Address (RPA) timeout no longer     than 15 minutes and rotate the address at timeout to protect user privacy     when device is actively using BLE for scanning or advertising.     To prevent timing attacks, timeout intervals MUST also be randomized     between 5 and 15 minutes. *   SHOULD support offloading of the filtering logic to the bluetooth chipset when implementing the [ScanFilter API]( https://developer.android.com/reference/android/bluetooth/le/ScanFilter.html). *   SHOULD support offloading of the batched scanning to the bluetooth chipset. *   SHOULD support multi advertisement with at least 4 slots.  If device implementations support Bluetooth LE and use Bluetooth LE for location scanning, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.5.1  Hardware"	"7.3.3"	"A-3-1"	"7.3.3/A-3-1"	"07030300.650301"	"""[7.3.3/A-3-1] MUST determine location the very first time      the GPS/GNSS receiver is turned on or after 4+ days within 60 seconds. *    ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.9  Installed apps"	"9.8.9"	"C-0-1"	"9.8.9/C-0-1"	"09080900.670001"	"""C-0-1] MUST NOT expose to any app targeting API level 30 or above details     about any other installed app, unless the app is already able to see details     about the other installed app through the managed APIs. This includes but is     not limited to details exposed by any custom APIs added by the device     implementer, or accessible via the filesystem.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3  Sensors"	"7.3"	"C-3-1"	"7.3/C-3-1"	"07030000.670301"	"""C-3-1] MUST set the resolution to 1 for the sensor and report the value     via the [`Sensor.getResolution()`](https://developer.android.com/reference/android/hardware/Sensor#getResolution%28%29)     API method.  If device implementations include a particular sensor type which supports [SensorAdditionalInfo#TYPE_VEC3_CALIBRATION](https://developer.android.com/reference/android/hardware/SensorAdditionalInfo#TYPE_VEC3_CALIBRATION) and the sensor is exposed to third-party developers, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.3  Captive Portals"	"7.4.5.3"	"C-1-5"	"7.4.5.3/C-1-5"	"07040503.670105"	"""C-1-5] MUST ensure that, while the user is logging in to a captive     portal, the default network used by applications (as returned by     [`ConnectivityManager.getActiveNetwork`](https://developer.android.com/reference/android/net/ConnectivityManager#getActiveNetwork%28%29),     [`ConnectivityManager.registerDefaultNetworkCallback`](https://developer.android.com/reference/android/net/ConnectivityManager#registerDefaultNetworkCallback%28android.net.ConnectivityManager.NetworkCallback%29),     and used by default by Java networking APIs such as java.net.Socket,     and native APIs such as connect()) is any other available network     that provides internet access, if available.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.6  Thermometer"	"7.3.6"	"C-2-1"	"7.3.6/C-2-1"	"07030600.670201"	"""C-2-1] MUST NOT define [`SENSOR_TYPE_AMBIENT_TEMPERATURE`](https://developer.android.com/reference/android/hardware/Sensor#TYPE_AMBIENT_TEMPERATURE)     for the temperature sensor.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.3  Software"	"3.8.16"	"H-1-4"	"3.8.16/H-1-4"	"03081600.720104"	"""[3.8.16/H-1-4] MUST accurately render     in this user affordance the name and icon of each third-party app that     provides controls via the [`ControlsProviderService`](https://developer.android.com/reference/android/service/controls/ControlsProviderService)     API as well as any specified fields provided by the [`Control`](https://developer.android.com/reference/android/service/controls/Control)     APIs.  Conversely, If Handheld device implementations do not implement such controls, they:  *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-3-2"	"3.2.3.5/C-3-2"	"03020305.670302"	"""C-3-2] MUST honor [android.nfc.cardemulation.action.ACTION_CHANGE_DEFAULT](https://developer.android.com/reference/android/nfc/cardemulation/CardEmulation#ACTION_CHANGE_DEFAULT) intent to show an activity which opens a dialog to ask the user to change the default card emulation service for a certain category as described in the SDK.  If device implementations report `android.hardware.nfc`, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.2.4  Touchscreen Input"	"7.2.4"	"C-3-2"	"7.2.4/C-3-2"	"07020400.670302"	"""C-3-2] MUST report only `android.hardware.faketouch`. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.1  Hardware"	"7.1.4.6"	"H-1-3"	"7.1.4.6/H-1-3"	"07010406.720103"	"""[7.1.4.6/H-1-3] MUST report conformant values      for the device’s GPU RenderStages following the      [render stage trace packet proto](https://android.googlesource.com/platform/external/perfetto/+/refs/heads/master/protos/perfetto/trace/gpu/gpu_render_stage_event.proto). *    ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.10  Device Integrity"	"9.10"	"C-0-4"	"9.10/C-0-4"	"09100000.670004"	"""C-0-4] MUST NOT allow the read requests on a protected file to succeed      when the read content do not verify against a trusted key. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-0-5"	"7.4.5.2/C-0-5"	"07040502.670005"	"""C-0-5] Rate-limiting MUST NOT cause the device to lose IPv6       connectivity on any IPv6-compliant network that uses RA lifetimes of       at least 180 seconds. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.1  Minimum Network Capability"	"7.4.5.1"	"C-0-1"	"7.4.5.1/C-0-1"	"07040501.670001"	"""C-0-1] MUST include support for one or more forms of data networking. Specifically, device implementations MUST include support for at least one data standard capable of 200 Kbit/sec or greater. Examples of     technologies that satisfy this requirement include EDGE, HSPA, EV-DO,     802.11g, Ethernet and Bluetooth PAN. *   SHOULD also include support for at least one common wireless data standard, such as 802.11 (Wi-Fi), when a physical networking standard (such as Ethernet) is the primary data connection. *   MAY implement more than one form of data connectivity.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.11  Data blobs sharing"	"9.8.11"	"C-1-1"	"9.8.11/C-1-1"	"09081100.670101"	"""C-1-1] MUST NOT share data blobs belonging to apps beyond what they     intended to allow (i.e. the scope of default access and the other access     modes that can be specified using     [BlobStoreManager.session#allowPackageAccess()](     https://developer.android.com/reference/android/app/blob/BlobStoreManager.Session#allowPackageAccess%28java.lang.String%2C%2520byte%5B%5D%29),     [BlobStoreManager.session#allowSameSignatureAccess()](     https://developer.android.com/reference/android/app/blob/BlobStoreManager.Session#allowSameSignatureAccess%28%29),     or [BlobStoreManager.session#allowPublicAccess()](     https://developer.android.com/reference/android/app/blob/BlobStoreManager.Session#allowPublicAccess%28%29)     MUST NOT be modified). The AOSP reference implementation meets these     requirements.   """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-13-1"	"3.2.3.5/C-13-1"	"03020305.671301"	"""C-13-1] MUST honor the intent [`android.app.action.ADD_DEVICE_ADMIN`](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_ADD_DEVICE_ADMIN) to invoke a UI to bring the user through adding the device administrator to the system (or allowing them to reject it).  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.10  Connectivity Bug Report"	"9.8.10"	"C-1-1"	"9.8.10/C-1-1"	"09081000.670101"	"""C-1-1] MUST obtain user consent every time the System API     `BUGREPORT_MODE_TELEPHONY` is called to generate a report and MUST NOT     prompt the user to consent to all future requests from the application. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-5-2"	"3.2.3.5/C-5-2"	"03020305.670502"	"""C-5-2] MUST honor the [‘android.bluetooth.adapter.action.REQUEST_DISCOVERABLE’](https://developer.android.com/reference/android/bluetooth/BluetoothAdapter#ACTION_REQUEST_DISCOVERABLE) intent and show a system activity that requests discoverable mode.  If device implementations support the DND feature, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.3  Software"	"3.8.16"	"H-2-1"	"3.8.16/H-2-1"	"03081600.720201"	"""[3.8.16/H-2-1] MUST report `null` for     the [`ControlsProviderService`](https://developer.android.com/reference/android/service/controls/ControlsProviderService)     and the [`Control`](https://developer.android.com/reference/android/service/controls/Control)     APIs. *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18  Contacts"	"3.18"	"C-1-2"	"3.18/C-1-2"	"03180000.670102"	"""C-1-2] The      [`ACCOUNT_TYPE`](https://developer.android.com/reference/android/provider/ContactsContract.SyncColumns.html#ACCOUNT_TYPE),      of the **custom local account** MUST be returned by      [`ContactsContract.RawContacts.getLocalAccountType`](https://developer.android.com/reference/android/provider/ContactsContract.RawContacts.html#getLocalAccountType\(\)) """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3  Sensors"	"7.3"	"C-1-6"	"7.3/C-1-6"	"07030000.670106"	"""C-1-6] MUST [report the event time]( http://developer.android.com/reference/android/hardware/SensorEvent.html#timestamp) in nanoseconds as defined in the Android SDK documentation, representing the time the event happened and synchronized with the SystemClock.elapsedRealtimeNano() clock.  | C-1-6] MUST set a non-zero resolution for all sensors, and report the value     via the [`Sensor.getResolution()`](https://developer.android.com/reference/android/hardware/Sensor#getResolution%28%29)     API method.  Some sensor types are composite, meaning they can be derived from data provided by one or more other sensors. (Examples include the orientation sensor and the linear acceleration sensor.)  Device implementations:  *   SHOULD implement these sensor types, when they include the prerequisite physical sensors as described in [sensor types](https://source.android.com/devices/sensors/sensor-types.html).  If device implementations include a composite sensor, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.3  Software"	"3.8.16"	"H-2-2"	"3.8.16/H-2-2"	"03081600.720202"	"""[3.8.16/H-2-2] MUST declare the feature     flag [`android.software.controls`](https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_CONTROLS)     and set it to `false`.  Handheld device implementations:  *  ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4  Application Packaging Compatibility"	"4"	"C-0-9"	"4/C-0-9"	"04000000.670009"	"""C-0-9] MUST support verifying .apk files using the      [APK Signature Scheme v4](https://source.android.com/security/apksigning/v4.html).  *    If device implementations are already launched on an earlier Android      version and cannot meet the requirements [C-0-8] and [C-0-9] through a      system software update, they MAY be exempted from these requirements. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-0-4"	"7.4.5.2/C-0-4"	"07040502.670004"	"""C-0-4] MUST maintain IPv6 connectivity in doze mode.       """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10  Biometric Sensors"	"7.3.10"	"C-4-1"	"7.3.10/C-4-1"	"07031000.670401"	"""C-4-1] MUST meet the requirements for **Class 3** or **Class 2** biometric     as defined in this document. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.10  Device Integrity"	"9.10"	"C-0-5"	"9.10/C-0-5"	"09100000.670005"	"""C-0-5] MUST enable the above-described cryptographic file verification      protection for all files for the package that is installed      with trusted signature files as described [here](      https://developer.android.com/preview/security/features/apk-verity).  If device implementations are already launched without the ability to verify file content against a trusted key on an earlier Android version and can not add support for this feature with a system software update, they MAY be exempted from the requirement. The upstream Android Open Source project provides a preferred implementation of this feature based on the Linux kernel [fs-verity]( https://www.kernel.org/doc/html/latest/filesystems/fsverity.html) feature.  Device implementations:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-5-1"	"3.2.3.5/C-5-1"	"03020305.670501"	"""C-5-1] MUST honor the [‘android.bluetooth.adapter.action.REQUEST_ENABLE’](https://developer.android.com/reference/kotlin/android/bluetooth/BluetoothAdapter#action_request_enable) intent and show a system activity to allow the user to turn on Bluetooth.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10  Biometric Sensors"	"7.3.10"	"C-5-2"	"7.3.10/C-5-2"	"07031000.670502"	"""C-5-2] MUST additionally implement an implicit authentication flow     (without confirmation step) corresponding to     [setConfirmationRequired(boolean)](https://developer.android.com/reference/android/hardware/biometrics/BiometricPrompt.Builder#setConfirmationRequired%28boolean%29),     which applications can set to utilize for sign-in flows.  If device implementations have multiple biometric sensors, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.3  Software"	"3.8.16"	"H-1-3"	"3.8.16/H-1-3"	"03081600.720103"	"""[3.8.16/H-1-3] MUST provide access to     this user affordance within three interactions from a default Launcher. *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
